"";"p-value";"enriched"
"Inh L1-2 PAX6 CDH12";1;FALSE
"Inh L1-2 PAX6 TNFAIP8L3";0,022;TRUE
"Inh L1 LAMP5 NMBR";1;FALSE
"Inh L1-4 LAMP5 LCP2";1;FALSE
"Inh L1-2 LAMP5 DBP";1;FALSE
"Inh L2-6 LAMP5 CA1";1;FALSE
"Inh L1 SST CHRNA4";1;FALSE
"Inh L1-2 ADARB2 MC4R";1;FALSE
"Inh L1-2 SST BAGE2";1;FALSE
"Inh L1-3 VIP SYT6";0,265;FALSE
"Inh L1-2 VIP TSPAN12";1;FALSE
"Inh L1-4 VIP CHRNA6";0,265;FALSE
"Inh L1-3 VIP ADAMTSL1";1;FALSE
"Inh L1-4 VIP PENK";0,022;TRUE
"Inh L2-6 VIP QPCT";1;FALSE
"Inh L3-6 VIP HS3ST3A1";0,265;FALSE
"Inh L1-2 VIP PCDH20";1;FALSE
"Inh L2-5 VIP TYR";1;FALSE
"Inh L1-3 VIP CHRM2";1;FALSE
"Inh L2-4 VIP CBLN1";1;FALSE
"Inh L1-3 VIP CCDC184";1;FALSE
"Inh L1-3 VIP GGH";1;FALSE
"Inh L1-2 VIP LBH";0,265;FALSE
"Inh L2-3 VIP CASC6";1;FALSE
"Inh L2-4 VIP SPAG17";1;FALSE
"Inh L1-4 VIP OPRM1";1;FALSE
"Inh L3-6 SST NPY";0,265;FALSE
"Inh L3-6 SST HPGD";0,265;FALSE
"Inh L5-6 SST KLHDC8A";1;FALSE
"Inh L5-6 SST NPM1P10";1;FALSE
"Inh L4-6 SST GXYLT2";0,022;TRUE
"Inh L1-3 SST CALB1";1;FALSE
"Inh L3-5 SST ADGRG6";1;FALSE
"Inh L2-4 SST FRZB";1;FALSE
"Inh L5-6 SST TH";0,265;FALSE
"Inh L5-6 LHX6 GLP1R";1;FALSE
"Inh L5-6 PVALB LGR5";1;FALSE
"Inh L4-5 PVALB MEPE";1;FALSE
"Inh L2-4 PVALB WFDC2";1;FALSE
"Inh L4-6 PVALB SULF1";1;FALSE
"Inh L5-6 SST MIR548F2";0,022;TRUE
"Inh L2-5 PVALB SCUBE3";0,265;FALSE
"Exc L2 LAMP5 LTK";1;FALSE
"Exc L2-4 LINC00507 GLP2R";1;FALSE
"Exc L2-3 LINC00507 FREM3";1;FALSE
"Exc L3-4 RORB CARM1P1";1;FALSE
"Exc L3-5 RORB ESR1";1;FALSE
"Exc L3-5 RORB COL22A1";1;FALSE
"Exc L3-5 RORB FILIP1L";0,265;FALSE
"Exc L3-5 RORB TWIST2";1;FALSE
"Exc L4-5 RORB FOLH1B";1;FALSE
"Exc L4-6 RORB SEMA3E";1;FALSE
"Exc L4-5 RORB DAPK2";1;FALSE
"Exc L5-6 RORB TTC12";1;FALSE
"Exc L4-6 RORB C1R";1;FALSE
"Exc L4-5 FEZF2 SCN4B";1;FALSE
"Exc L5-6 THEMIS DCSTAMP";0,265;FALSE
"Exc L5-6 THEMIS CRABP1";0,265;FALSE
"Exc L5-6 THEMIS FGF10";1;FALSE
"Exc L4-6 FEZF2 IL26";1;FALSE
"Exc L5-6 FEZF2 ABO";1;FALSE
"Exc L6 FEZF2 SCUBE1";1;FALSE
"Exc L5-6 FEZF2 IL15";1;FALSE
"Exc L5-6 FEZF2 EFTUD1P1";1;FALSE
"OPC L1-6 PDGFRA";1;FALSE
"Astro L1-6 FGFR3 SLC14A1";1;FALSE
"Astro L1-2 FGFR3 GFAP";1;FALSE
"Oligo L1-6 OPALIN";1;FALSE
"Endo L2-6 NOSTRIN";1;FALSE
"Micro L1-6 TYROBP";1;FALSE
